同名同姓受害者协会,文学,小说,[日]下村敦史,45,2022-3,文汇出版社,7.4,(5152人评价),【内容简介】你有没有在网上搜索过自己的名字？你有没有想过，自己会因为名字，成为全网追杀的猎物？一起震惊全国的惨案，幼女被连捅二十八刀。凶手的身份保密，...
鹿川有许多粪,文学,小说,李沧东,58.00元,2021-8,武汉大学出版社,9.0,(14169人评价),豆瓣2021年度读书榜单“年度外国文学（小说类）”“年度高分图书”“豆瓣书店最受欢迎图书”李沧东封笔之作直面错综复杂的生活本身，探索真正价值的可能...
生死疲劳,文学,小说,莫言,69.90,2022-1,浙江文艺出版社,9.1,(8722人评价),◆不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。◆莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。”◆不...
秋园,文学,小说,杨本芬,38.00元,2020-6,北京联合出版公司,9.0,(40579人评价),听八旬奶奶讲述她和妈妈的故事。1914年，世上有了“秋园”这个人。1918年，汉语有了“她”这个字。秋园，她来过，挣扎过，绝望过，幸福过。今天，她80岁的...
活着,文学,小说,余华,20.00元,2012-8-1,作家出版社,9.4,(694904人评价),《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
克拉拉与太阳,文学,小说,[英]石黑一雄,68.00,2021-3,上海译文出版社,8.2,(33910人评价),“太阳总有办法照到我们，不管我们在哪里。”~克拉拉是一个专为陪伴儿童而设计的太阳能人工智能机器人（AF），具有极高的观察、推理与共情能力。她坐在商店展示...
绝叫,文学,小说,[日]叶真中显,58.00元,2020-7,北京联合出版公司,8.8,(47626人评价),罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”豆瓣「2020年度读书榜单」推理·悬疑类top1！怀才者的自怜是天...
献给阿尔吉侬的花束,文学,小说,[美]丹尼尔·凯斯,36.00元,2015-4,广西师范大学出版社,9.1,(62400人评价),声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后...
遥远的救世主,文学,小说,豆豆,28.00,2005-05-01,作家出版社,8.7,(30503人评价),这是一部可以傲然独尊的长篇小说。也是一部可遇不可求的完美佳作。豆豆，以她的才华，探索一个有机的、无定形的、陌生的、暧昧的和未曾臻达的世界。男女主人公那浓墨...
消失的13级台阶,文学,小说,[日]高野和明,42.00元,2020-5-15,上海文艺出版社,8.6,(63243人评价),【内容简介】一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆……死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧...
